price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
61000.0,70.0,2+1,uskudar,bulgurlu,3.0,53.97
59000.0,60.0,1+1,kadikoy,acibadem,2.0,75.68
60000.0,110.0,3+1,uskudar,cumhuriyet,4.0,53.97
72000.0,90.0,2+1,uskudar,cengelkoy,3.0,53.97
56000.0,70.0,2+1,uskudar,cengelkoy,3.0,53.97
66000.0,165.0,4+1,bahcelievler,bahcelievler,5.0,34.34
64000.0,95.0,2+1,uskudar,ferah,3.0,53.97
65000.0,90.0,2+1,uskudar,cengelkoy,3.0,53.97
57500.0,100.0,2+1,bahcelievler,bahcelievler,3.0,34.34
57000.0,110.0,3+1,uskudar,guzeltepe,4.0,53.97
58500.0,150.0,3+1,uskudar,kuleli,4.0,53.97
57000.0,77.0,2+1,uskudar,cengelkoy,3.0,53.97
62000.0,130.0,4+1,uskudar,bulgurlu,5.0,53.97
68000.0,120.0,2+1,uskudar,unalan,3.0,53.97
57000.0,92.0,2+1,bahcelievler,bahcelievler,3.0,34.34
75000.0,116.0,2+1,uskudar,guzeltepe,3.0,53.97
74000.0,79.0,2+1,kadikoy,acibadem,3.0,75.68
60000.0,140.0,3+1,uskudar,ferah,4.0,53.97
72500.0,110.0,3+1,bahcelievler,bahcelievler,4.0,34.34
75000.0,110.0,3+1,uskudar,icadiye,4.0,53.97
72000.0,120.0,3+1,uskudar,kucuksu,4.0,53.97
68000.0,89.0,1+1,kadikoy,acibadem,2.0,75.68
57000.0,90.0,2+1,uskudar,burhaniye,3.0,53.97
75000.0,145.0,3+1,bahcelievler,bahcelievler,4.0,34.34
65000.0,135.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
63000.0,134.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
60000.0,115.0,2+1,uskudar,barbaros,3.0,53.97
56500.0,150.0,3+1,uskudar,burhaniye,4.0,53.97
65000.0,150.0,3+1,kadikoy,acibadem,4.0,75.68
73000.0,128.0,3+1,uskudar,kucuksu,4.0,53.97
70000.0,110.0,3+1,uskudar,guzeltepe,4.0,53.97
62000.0,98.0,2+1,uskudar,beylerbeyi,3.0,53.97
75000.0,150.0,3+1,uskudar,cengelkoy,4.0,53.97
62500.0,115.0,2+1,bahcelievler,bahcelievler,3.0,34.34
57000.0,95.0,3+1,uskudar,cengelkoy,4.0,53.97
64000.0,116.0,3+1,kadikoy,acibadem,4.0,75.68
58000.0,100.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
58000.0,110.0,2+1,uskudar,kisikli,3.0,53.97
58000.0,134.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
65000.0,130.0,2+1,kadikoy,acibadem,3.0,75.68
60000.0,150.0,3+1,uskudar,selami ali,4.0,53.97
75000.0,128.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
72500.0,116.0,2+1,uskudar,kucuksu,3.0,53.97
70000.0,125.0,3+1,bahcelievler,bahcelievler,4.0,34.34
75000.0,140.0,2+1,bahcelievler,bahcelievler,3.0,34.34
75000.0,115.0,3+1,uskudar,guzeltepe,4.0,53.97
70000.0,130.0,3+1,uskudar,burhaniye,4.0,53.97
58000.0,100.0,2+1,uskudar,unalan,3.0,53.97
60000.0,110.0,1.5+1,uskudar,beylerbeyi,2.5,53.97
62000.0,71.0,2+1,uskudar,cengelkoy,3.0,53.97
65000.0,140.0,2+1,uskudar,kirazlitepe,3.0,53.97
57000.0,68.0,2+1,uskudar,cengelkoy,3.0,53.97
65000.0,150.0,3+1,uskudar,selimiye,4.0,53.97
56000.0,115.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
63000.0,85.0,2+1,bahcelievler,bahcelievler,3.0,34.34
56000.0,100.0,2+1,bahcelievler,bahcelievler,3.0,34.34
65000.0,140.0,3+1,bahcelievler,bahcelievler,4.0,34.34
68000.0,90.0,2+1,uskudar,barbaros,3.0,53.97
56000.0,150.0,4+1,uskudar,ferah,5.0,53.97
75000.0,129.0,3+1,uskudar,kucuksu,4.0,53.97
70000.0,100.0,2+1,bahcelievler,bahcelievler,3.0,34.34
65000.0,110.0,3+1,uskudar,cengelkoy,4.0,53.97
65000.0,130.0,3+1,uskudar,altunizade,4.0,53.97
70000.0,130.0,3+1,uskudar,cengelkoy,4.0,53.97
56000.0,95.0,2+1,bahcelievler,bahcelievler,3.0,34.34
72000.0,128.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
70000.0,120.0,3+1,uskudar,selimiye,4.0,53.97
66000.0,110.0,3+1,uskudar,cengelkoy,4.0,53.97
75000.0,104.0,3+1,uskudar,cengelkoy,4.0,53.97
60000.0,125.0,3+1,uskudar,cumhuriyet,4.0,53.97
60000.0,170.0,3+1,uskudar,kisikli,4.0,53.97
65000.0,130.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
60000.0,145.0,3+1,uskudar,cengelkoy,4.0,53.97
72000.0,90.0,2+1,uskudar,kucuksu,3.0,53.97
56000.0,90.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
62500.0,113.0,3+1,uskudar,unalan,4.0,53.97
67000.0,130.0,3+1,uskudar,altunizade,4.0,53.97
65000.0,128.0,3+1,bahcelievler,bahcelievler,4.0,34.34
63000.0,140.0,4+1,uskudar,bulgurlu,5.0,53.97
70000.0,180.0,3+2,uskudar,cengelkoy,5.0,53.97
67000.0,140.0,4+2,uskudar,cumhuriyet,6.0,53.97
59000.0,116.0,2+1,uskudar,cengelkoy,3.0,53.97
69000.0,130.0,3+1,uskudar,altunizade,4.0,53.97
67500.0,110.0,2+1,uskudar,kuzguncuk,3.0,53.97
65000.0,110.0,2+1,uskudar,burhaniye,3.0,53.97
