district,neighborhood,nearest_metro_km,metro_500m,metro_1km,weighted_1km,cafe_1km,restaurant_1km,university_2km,park_1km
sultangazi,zubeyde hanim,1.664,0,0,0.0,5,5,0,39
sultangazi,50. yil,1.045,0,0,0.0,8,4,1,39
sultangazi,75. yil,1.535,0,0,0.0,5,3,0,50
sultangazi,yunus emre,1.511,0,0,0.0,5,3,1,35
sultangazi,esentepe,2.02,0,0,0.0,3,3,1,34
sultangazi,cebeci,4.48,0,0,0.0,0,0,0,1
sultangazi,gazi,2.195,0,0,0.0,5,5,1,41
sultangazi,cumhuriyet,0.698,0,1,1.0,13,2,1,36
sultangazi,ugur mumcu,1.924,0,0,0.0,12,14,1,40
sultangazi,malkocoglu,4.071,0,0,0.0,3,3,0,13
sultangazi,ismetpasa,3.741,0,0,0.0,16,15,1,27
sultangazi,habibler,4.195,0,0,0.0,4,7,0,10
gaziosmanpasa,yildiztabya,1.677,0,0,0.0,4,6,2,32
kadikoy,hasanpasa,0.626,0,2,2.0,30,37,4,22
bagcilar,kemalpasa,0.697,0,1,1.0,23,37,0,21
sile,balibey,38.041,0,0,0.0,8,10,0,18
sile,cavus,38.041,0,0,0.0,8,10,0,18
sile,kurfalli,38.041,0,0,0.0,8,10,0,18
sile,haci kasim,38.041,0,0,0.0,8,10,0,18
sile,kumbaba,38.041,0,0,0.0,8,10,0,18
sisli,kustepe,0.845,0,3,3.0,25,22,8,25
sisli,mahmut sevket pasa,1.838,0,0,0.0,1,5,11,31
sisli,yayla,1.118,0,0,0.0,36,41,15,27
sisli,eskisehir,0.891,0,1,1.0,73,90,16,22
sisli,izzet pasa,0.514,0,1,1.0,74,87,15,20
sisli,halide edip adivar,1.048,0,0,0.0,24,32,7,19
sisli,duatepe,0.559,0,1,1.0,48,55,15,20
sisli,ergenekon,0.43,1,1,1.0,100,99,21,19
sisli,pasa,1.331,0,0,0.0,14,18,15,23
sisli,ferikoy,0.786,0,1,1.0,54,52,15,23
sisli,inonu,0.655,0,1,1.5,134,154,15,25
sisli,halaskargazi,0.188,1,1,1.0,97,97,23,19
sisli,halil rifat pasa,1.655,0,0,0.0,4,11,11,26
