price,area_m2,room_count,district,sub_district,neighborhood,total_rooms,walkability_score,price_per_room,student_score,lat,lon,is_district_center,nearest_metro_km,metro_500m,metro_1km,weighted_1km,restaurant_1km,cafe_1km,university_2km,park_1km,is_periphery
20000.0,90.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,6666.666666666667,52.58,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
22000.0,82.0,2+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,3.0,10.88,7333.333333333333,51.38,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
20000.0,85.0,2+1,arnavutkoy,arnavutkoy,yunus emre,3.0,10.88,6666.666666666667,52.58,41.1851922,28.7605273,0,1.2706755506278418,0,0,0.0,0,0,0,4,1
21500.0,90.0,2+1,arnavutkoy,bolluca,mavigol,3.0,10.88,7166.666666666667,51.62,41.2185352,28.7696946,0,4.256095480383518,0,0,0.0,0,0,0,0,1
22000.0,130.0,3+1,arnavutkoy,arnavutkoy,i̇slambey,4.0,10.88,5500.0,54.16,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
22000.0,95.0,2+1,arnavutkoy,arnavutkoy,nenehatun,3.0,10.88,7333.333333333333,51.38,41.1821756,28.740234,0,0.7111367946282976,0,1,1.0,7,3,0,4,1
22000.0,85.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,7333.333333333333,51.38,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
20000.0,75.0,2+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,3.0,10.88,6666.666666666667,52.58,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
21000.0,100.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,7000.0,51.92,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
18500.0,65.0,1+1,arnavutkoy,arnavutkoy,anadolu,2.0,10.88,9250.0,45.5,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
20000.0,90.0,1+1,arnavutkoy,bolluca,mavigol,2.0,10.88,10000.0,42.61,41.2185352,28.7696946,0,4.256095480383518,0,0,0.0,0,0,0,0,1
20000.0,85.0,2+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,3.0,10.88,6666.666666666667,52.58,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
21000.0,90.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,7000.0,51.92,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
20000.0,95.0,2+1,arnavutkoy,hadimkoy(boyalik),hastane,3.0,10.88,6666.666666666667,52.58,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
18500.0,85.0,2+1,arnavutkoy,haracci,haracci,3.0,10.88,6166.666666666667,53.47,41.177438,28.702325,0,3.484429264646682,0,0,0.0,0,0,0,1,1
20000.0,90.0,2+1,arnavutkoy,haracci,haracci,3.0,10.88,6666.666666666667,52.58,41.177438,28.702325,0,3.484429264646682,0,0,0.0,0,0,0,1,1
21000.0,84.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,7000.0,51.92,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
21500.0,55.0,1+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,2.0,10.88,10750.0,39.85,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
19000.0,80.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,6333.333333333333,53.12,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
20000.0,110.0,2+1,arnavutkoy,arnavutkoy,i̇mrahor,3.0,10.88,6666.666666666667,52.58,41.2156124,28.7463257,0,2.7176372501526602,0,0,0.0,0,0,0,0,1
22000.0,35.0,Stüdyo (1+0),arnavutkoy,arnavutkoy,nenehatun,1.0,10.88,14666.666666666666,27.58,41.1821756,28.740234,0,0.7111367946282976,0,1,1.0,7,3,0,4,1
18500.0,75.0,2+1,arnavutkoy,tasoluk,mehmet akif ersoy,3.0,10.88,6166.666666666667,53.47,41.2070653,28.715889,0,0.0,1,1,1.0,1,0,0,4,1
21500.0,80.0,2+1,arnavutkoy,arnavutkoy,mustafa kemal pasa,3.0,10.88,7166.666666666667,51.62,41.1868267,28.7358834,0,1.309042278511146,0,0,0.0,7,3,0,4,1
21500.0,75.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,7166.666666666667,51.62,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
20000.0,75.0,1+1,arnavutkoy,arnavutkoy,hadimkoy,2.0,10.88,10000.0,42.61,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
22000.0,100.0,2+1,arnavutkoy,haracci,karlibayir,3.0,10.88,7333.333333333333,51.38,41.18262,28.720008,0,2.348963054782343,0,0,0.0,1,0,0,3,1
20000.0,90.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,6666.666666666667,52.58,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
22000.0,70.0,2+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,3.0,10.88,7333.333333333333,51.38,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
20000.0,90.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,6666.666666666667,52.58,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
21000.0,85.0,2+1,arnavutkoy,haracci,karlibayir,3.0,10.88,7000.0,51.92,41.18262,28.720008,0,2.348963054782343,0,0,0.0,1,0,0,3,1
20000.0,70.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,6666.666666666667,52.58,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
20000.0,90.0,2+1,arnavutkoy,hadimkoy(boyalik),hastane,3.0,10.88,6666.666666666667,52.58,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
19000.0,80.0,2+1,arnavutkoy,arnavutkoy,mustafa kemal pasa,3.0,10.88,6333.333333333333,53.12,41.1868267,28.7358834,0,1.309042278511146,0,0,0.0,7,3,0,4,1
20000.0,65.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,6666.666666666667,52.58,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
19000.0,75.0,1+1,arnavutkoy,arnavutkoy,i̇slambey,2.0,10.88,9500.0,44.56,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
20000.0,85.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,6666.666666666667,52.58,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
26000.0,95.0,2+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,3.0,10.88,8666.666666666666,47.49,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
25000.0,70.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,8333.333333333334,48.65,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
22500.0,100.0,2+1,arnavutkoy,arnavutkoy,yunus emre,3.0,10.88,7500.0,50.9,41.1851922,28.7605273,0,1.2706755506278418,0,0,0.0,0,0,0,4,1
22500.0,91.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,7500.0,50.9,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
24500.0,90.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,8166.666666666667,49.39,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
23500.0,85.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,7833.333333333333,50.13,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
24000.0,120.0,2+1,arnavutkoy,bogazkoy,ataturk,3.0,10.88,8000.0,49.75,41.180139,28.763479,0,1.3270438816195733,0,0,0.0,0,0,0,1,1
26000.0,100.0,2+1,arnavutkoy,tasoluk,mehmet akif ersoy,3.0,10.88,8666.666666666666,47.49,41.2070653,28.715889,0,0.0,1,1,1.0,1,0,0,4,1
23000.0,75.0,2+1,arnavutkoy,haracci,haracci,3.0,10.88,7666.666666666667,50.4,41.177438,28.702325,0,3.484429264646682,0,0,0.0,0,0,0,1,1
25000.0,70.0,2+1,arnavutkoy,arnavutkoy,yavuz selim,3.0,10.88,8333.333333333334,48.65,41.2063186,28.7307262,0,1.243997199040881,0,0,0.0,5,0,0,1,1
25000.0,120.0,2+1,arnavutkoy,hadimkoy(boyalik),hastane,3.0,10.88,8333.333333333334,48.65,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
25000.0,90.0,2+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,3.0,10.88,8333.333333333334,48.65,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
26000.0,100.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,8666.666666666666,47.49,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
25250.0,90.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,8416.666666666666,48.07,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
25000.0,95.0,2+1,arnavutkoy,tasoluk,tasoluk,3.0,10.88,8333.333333333334,48.65,41.1915259,28.707349,0,1.86980303378312,0,0,0.0,0,0,0,3,1
23000.0,100.0,2+1,arnavutkoy,haracci,haracci,3.0,10.88,7666.666666666667,50.4,41.177438,28.702325,0,3.484429264646682,0,0,0.0,0,0,0,1,1
25000.0,100.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,8333.333333333334,48.65,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
24000.0,70.0,1+1,arnavutkoy,arnavutkoy,anadolu,2.0,10.88,12000.0,35.66,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
25000.0,88.0,2+1,arnavutkoy,arnavutkoy,mustafa kemal pasa,3.0,10.88,8333.333333333334,48.65,41.1868267,28.7358834,0,1.309042278511146,0,0,0.0,7,3,0,4,1
23000.0,84.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,7666.666666666667,50.4,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
25000.0,100.0,2+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,3.0,10.88,8333.333333333334,48.65,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
25000.0,115.0,2+1,arnavutkoy,bogazkoy,bogazkoy i̇stiklal,3.0,10.88,8333.333333333334,48.65,41.180795,28.770647,0,1.9311127561775363,0,0,0.0,0,0,0,1,1
26000.0,70.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,8666.666666666666,47.49,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
23000.0,90.0,2+1,arnavutkoy,bolluca,merkez,3.0,10.88,7666.666666666667,50.4,41.1974977,28.7650153,0,2.5078688019234936,0,0,0.0,0,0,0,4,1
25000.0,75.0,2+1,arnavutkoy,arnavutkoy,mustafa kemal pasa,3.0,10.88,8333.333333333334,48.65,41.1868267,28.7358834,0,1.309042278511146,0,0,0.0,7,3,0,4,1
25000.0,70.0,1+1,arnavutkoy,bolluca,mavigol,2.0,10.88,12500.0,33.99,41.2185352,28.7696946,0,4.256095480383518,0,0,0.0,0,0,0,0,1
