price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
50000.0,54.0,1+1,Kadıköy,Acıbadem,2.0,74.31
47000.0,130.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
50000.0,106.0,3+1,Üsküdar,Murat Reis,4.0,52.38
48000.0,55.0,1+1,Merkez,Aziz Mahmut Hüdayi,2.0,10.0
50000.0,115.0,3+1,Ferah,Merkez,4.0,10.0
46000.0,200.0,3+1,Ferah,Merkez,4.0,10.0
55000.0,85.0,2+1,Üsküdar,Beylerbeyi,3.0,52.38
47500.0,155.0,3+1,Bulgurlu,Merkez,4.0,10.0
55000.0,89.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,90.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
50000.0,150.0,3+1,Ferah,Kısıklı,4.0,10.0
55000.0,150.0,3+1,Bulgurlu,Merkez,4.0,10.0
47000.0,125.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
52000.0,117.0,3+1,Üsküdar,Burhaniye,4.0,52.38
47000.0,120.0,2+1,Merkez,Mimar Sinan,3.0,10.0
55000.0,130.0,3+1,Merkez,Salacak,4.0,10.0
47000.0,85.0,2+1,Bulgurlu,Merkez,3.0,10.0
52000.0,85.0,1.5+1,Bulgurlu,Merkez,2.5,10.0
50000.0,130.0,3+1,Ferah,Merkez,4.0,10.0
49000.0,120.0,3+1,Kadıköy,Acıbadem,4.0,74.31
46000.0,140.0,3+1,Üsküdar,Küplüce,4.0,52.38
50000.0,220.0,3+1,Bulgurlu,Merkez,4.0,10.0
50000.0,106.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
47000.0,105.0,3+1,Kadıköy,Acıbadem,4.0,74.31
52500.0,115.0,3+1,Kadıköy,Acıbadem,4.0,74.31
50000.0,85.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
50000.0,125.0,3+1,Kadıköy,Acıbadem,4.0,74.31
55000.0,80.0,2+1,Üsküdar,Çengelköy,3.0,52.38
50000.0,100.0,3+1,Üsküdar,Küçüksu,4.0,52.38
54000.0,115.0,2.5+1,Üsküdar,Kirazlıtepe,3.5,52.38
53000.0,110.0,3+1,Ferah,Kısıklı,4.0,10.0
46000.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
46000.0,100.0,3+1,Bulgurlu,Merkez,4.0,10.0
52000.0,125.0,3+1,Ferah,Merkez,4.0,10.0
