price,area_m2,room_count,district,neighborhood,total_rooms
25500.0,130.0,3+1,sancaktepe,inonu,4.0
24500.0,115.0,2+1,sancaktepe,veysel karani,3.0
24000.0,85.0,2+1,sancaktepe,emek,3.0
25000.0,100.0,2+1,sancaktepe,osmangazi,3.0
25000.0,95.0,2+1,sancaktepe,safa,3.0
23500.0,100.0,2+1,sancaktepe,akpinar,3.0
26000.0,100.0,2+1,sancaktepe,meclis,3.0
25000.0,80.0,2+1,sancaktepe,kemal turkler,3.0
25500.0,75.0,2+1,sancaktepe,yunus emre,3.0
24000.0,80.0,2+1,sancaktepe,mevlana,3.0
25000.0,90.0,2+1,sancaktepe,osmangazi,3.0
23250.0,90.0,2+1,sancaktepe,abdurrahmangazi,3.0
24000.0,120.0,2+1,sancaktepe,ataturk,3.0
23000.0,140.0,3+1,sancaktepe,mevlana,4.0
25400.0,85.0,2+1,sancaktepe,eyup sultan,3.0
25000.0,100.0,2+1,sancaktepe,inonu,3.0
23000.0,115.0,2+1,sancaktepe,yunus emre,3.0
26000.0,130.0,2+1,sancaktepe,veysel karani,3.0
26000.0,100.0,2+1,sancaktepe,yunus emre,3.0
25750.0,80.0,2+1,sancaktepe,eyup sultan,3.0
25750.0,85.0,2+1,sancaktepe,kemal turkler,3.0
23000.0,75.0,2+1,sancaktepe,mevlana,3.0
26000.0,110.0,2+1,sancaktepe,mevlana,3.0
25000.0,55.0,Stüdyo (1+0),sancaktepe,abdurrahmangazi,1.0
26000.0,80.0,2+1,sancaktepe,kemal turkler,3.0
25000.0,85.0,2+1,sancaktepe,safa,3.0
25500.0,107.0,3+1,sancaktepe,sarigazi,4.0
24500.0,90.0,2+1,sancaktepe,merve,3.0
25000.0,121.0,3+1,sancaktepe,merve,4.0
25000.0,115.0,3+2,sancaktepe,fatih,5.0
26000.0,125.0,2+2,sancaktepe,ataturk,4.0
25000.0,120.0,2+1,sancaktepe,akpinar,3.0
25000.0,160.0,3+1,sancaktepe,veysel karani,4.0
22500.0,115.0,2+1,sancaktepe,inonu,3.0
25000.0,120.0,3+1,sancaktepe,mevlana,4.0
22500.0,50.0,1+1,sancaktepe,safa,2.0
24000.0,60.0,2+1,sancaktepe,ataturk,3.0
25000.0,80.0,2+1,sancaktepe,inonu,3.0
23000.0,75.0,1+1,sancaktepe,mevlana,2.0
25000.0,100.0,3+1,sancaktepe,safa,4.0
23000.0,70.0,2+1,sancaktepe,emek,3.0
25000.0,55.0,1+1,sancaktepe,sarigazi,2.0
25000.0,105.0,3+1,sancaktepe,akpinar,4.0
23000.0,80.0,2+1,sancaktepe,mevlana,3.0
25500.0,80.0,2+1,sancaktepe,akpinar,3.0
28000.0,105.0,3+1,sancaktepe,akpinar,4.0
30000.0,95.0,2+1,sancaktepe,osmangazi,3.0
30000.0,75.0,2+1,sancaktepe,eyup sultan,3.0
27000.0,115.0,2+1,sancaktepe,yunus emre,3.0
30000.0,110.0,2+1,sancaktepe,meclis,3.0
30000.0,60.0,1+1,sancaktepe,mevlana,2.0
27000.0,110.0,2+1,sancaktepe,emek,3.0
26500.0,120.0,3+1,sancaktepe,mevlana,4.0
30000.0,75.0,2+1,sancaktepe,meclis,3.0
29000.0,130.0,3+1,sancaktepe,eyup sultan,4.0
27500.0,115.0,3+1,sancaktepe,safa,4.0
30000.0,110.0,3+1,sancaktepe,akpinar,4.0
27000.0,85.0,2+1,sancaktepe,ataturk,3.0
29000.0,85.0,2+1,sancaktepe,merve,3.0
28500.0,88.0,2+1,sancaktepe,merve,3.0
30000.0,120.0,2+1,sancaktepe,safa,3.0
31000.0,90.0,2+1,sancaktepe,osmangazi,3.0
27900.0,110.0,4+1,sancaktepe,osmangazi,5.0
30000.0,125.0,3+1,sancaktepe,yenidogan,4.0
29000.0,150.0,3+1,sancaktepe,safa,4.0
29500.0,120.0,2+1,sancaktepe,yenidogan,3.0
30000.0,85.0,2+1,sancaktepe,fatih,3.0
30000.0,130.0,3+1,sancaktepe,meclis,4.0
30000.0,85.0,1+1,sancaktepe,ataturk,2.0
31000.0,165.0,3+1,sancaktepe,emek,4.0
28000.0,82.0,2+1,sancaktepe,abdurrahmangazi,3.0
27000.0,83.0,2+1,sancaktepe,safa,3.0
28500.0,85.0,2+1,sancaktepe,fatih,3.0
30000.0,60.0,1+1,sancaktepe,fatih,2.0
27500.0,90.0,2+1,sancaktepe,mevlana,3.0
28000.0,85.0,2+1,sancaktepe,osmangazi,3.0
28000.0,67.0,1+1,sancaktepe,osmangazi,2.0
27000.0,120.0,2+1,sancaktepe,yunus emre,3.0
28000.0,90.0,2+1,sancaktepe,eyup sultan,3.0
30000.0,90.0,2+1,sancaktepe,sarigazi,3.0
30000.0,95.0,2+1,sancaktepe,safa,3.0
27000.0,70.0,1+1,sancaktepe,ataturk,2.0
30000.0,75.0,1+1,sancaktepe,kemal turkler,2.0
30500.0,60.0,1+1,sancaktepe,osmangazi,2.0
30500.0,80.0,2+1,sancaktepe,sarigazi,3.0
30000.0,120.0,3+1,sancaktepe,ataturk,4.0
28000.0,120.0,3+1,sancaktepe,ataturk,4.0
30000.0,95.0,2+1,sancaktepe,ataturk,3.0
31000.0,130.0,3+1,sancaktepe,ataturk,4.0
29000.0,150.0,3+1,sancaktepe,abdurrahmangazi,4.0
28400.0,100.0,2+1,sancaktepe,osmangazi,3.0
31000.0,130.0,2+2,sancaktepe,ataturk,4.0
28000.0,50.0,1+1,sancaktepe,eyup sultan,2.0
29000.0,95.0,2+1,sancaktepe,ataturk,3.0
28000.0,90.0,2+1,sancaktepe,kemal turkler,3.0
30000.0,75.0,2+1,sancaktepe,safa,3.0
29000.0,130.0,3+1,sancaktepe,fatih,4.0
28500.0,88.0,2+1,sancaktepe,osmangazi,3.0
29000.0,68.0,1+1,sancaktepe,emek,2.0
30000.0,63.0,1+1,sancaktepe,veysel karani,2.0
28000.0,68.0,1+1,sancaktepe,emek,2.0
27000.0,95.0,2+1,sancaktepe,ataturk,3.0
28000.0,90.0,2+1,sancaktepe,yunus emre,3.0
30000.0,90.0,2+1,sancaktepe,inonu,3.0
27500.0,60.0,1+1,sancaktepe,akpinar,2.0
28000.0,92.0,2+1,sancaktepe,merve,3.0
29000.0,105.0,2+1,sancaktepe,yunus emre,3.0
28000.0,75.0,2+1,sancaktepe,kemal turkler,3.0
31000.0,140.0,4+1,sancaktepe,osmangazi,5.0
29000.0,60.0,1+1,sancaktepe,sarigazi,2.0
31000.0,56.0,1+1,sancaktepe,fatih,2.0
27500.0,125.0,3+1,sancaktepe,fatih,4.0
27000.0,140.0,3+1,sancaktepe,osmangazi,4.0
29000.0,95.0,2+1,sancaktepe,abdurrahmangazi,3.0
30000.0,120.0,2+1,sancaktepe,abdurrahmangazi,3.0
29500.0,85.0,2+1,sancaktepe,kemal turkler,3.0
29500.0,95.0,2+1,sancaktepe,meclis,3.0
30000.0,125.0,3+1,sancaktepe,osmangazi,4.0
30500.0,65.0,2+1,sancaktepe,meclis,3.0
31000.0,90.0,2+1,sancaktepe,eyup sultan,3.0
27500.0,90.0,2+1,sancaktepe,yunus emre,3.0
27000.0,120.0,3+1,sancaktepe,emek,4.0
28500.0,140.0,3+1,sancaktepe,osmangazi,4.0
28500.0,80.0,2+1,sancaktepe,kemal turkler,3.0
30000.0,155.0,3+1,sancaktepe,kemal turkler,4.0
28000.0,80.0,2+1,sancaktepe,safa,3.0
27000.0,68.0,1+1,sancaktepe,emek,2.0
28250.0,90.0,2+1,sancaktepe,sarigazi,3.0
30000.0,110.0,2+1,sancaktepe,merve,3.0
27500.0,60.0,1+1,sancaktepe,osmangazi,2.0
29000.0,70.0,2+1,sancaktepe,fatih,3.0
28000.0,80.0,2+1,sancaktepe,eyup sultan,3.0
30000.0,150.0,3+1,sancaktepe,yunus emre,4.0
30000.0,62.0,1+1,sancaktepe,fatih,2.0
27900.0,85.0,2+1,sancaktepe,safa,3.0
